key,value,year
Brazil,54.5,1972
Brazil,50.6,1973
Brazil,49.5,1974
Brazil,47.8,1975
Brazil,45.7,1976
Brazil,45.8,1977
Brazil,43.6,1978
Brazil,43.6,1979
Brazil,45.2,1980
Brazil,47.2,1981
Brazil,47.6,1982
Brazil,50.3,1983
Brazil,52.2,1984
Brazil,50.9,1985
Brazil,49.3,1986
Brazil,49.3,1987
Brazil,48.8,1988
Brazil,48.6,1989
Brazil,46.9,1990
Brazil,46.3,1991
Brazil,45.7,1992
Brazil,45.2,1993
Brazil,45.1,1994
Brazil,43.2,1995
Brazil,41.6,1996
Brazil,40.9,1997
Brazil,40.3,1998
Brazil,40.1,1999
Brazil,39,2000
Brazil,37.5,2001
Brazil,39.3,2002
Brazil,42,2003
Brazil,42.3,2004
Brazil,42.9,2005
Brazil,43.3,2006
Brazil,44.4,2007
Chile,20.8,1971
Chile,20.9,1972
Chile,21.2,1973
Chile,23.1,1974
Chile,25.7,1975
Chile,25.4,1976
Chile,25.7,1977
Chile,26.3,1978
Chile,25.6,1979
Chile,26.1,1980
Chile,26,1981
Chile,29.8,1982
Chile,31.5,1983
Chile,31.8,1984
Chile,33.2,1985
Chile,33.4,1986
Chile,34.1,1987
Chile,30.7,1988
Chile,26.2,1989
Chile,25,1990
Chile,29.1,1991
Chile,30.3,1992
Chile,28.3,1993
Chile,26.8,1994
Chile,26.8,1995
Chile,24.9,1996
Chile,24.3,1997
Chile,23.2,1998
Chile,20.5,1999
Chile,22.6,2000
Chile,23.9,2001
Chile,23.8,2002
Chile,22.7,2003
Chile,21.4,2004
Chile,22.5,2005
Chile,23,2006
Chile,21.8,2007
China,40,1971
China,39.1,1972
China,38.6,1973
China,38.5,1974
China,35.5,1975
China,34.9,1976
China,32.5,1977
China,30.3,1978
China,30.3,1979
China,30.9,1980
China,31.6,1981
China,31.1,1982
China,30.4,1983
China,28.8,1984
China,28.4,1985
China,27.7,1986
China,26.7,1987
China,25.7,1988
China,25.6,1989
China,24.5,1990
China,24.9,1991
China,24.3,1992
China,23.2,1993
China,22.4,1994
China,21.2,1995
China,20.4,1996
China,20.4,1997
China,20.4,1998
China,20.4,1999
China,20.3,2000
China,20.7,2001
China,19.1,2002
China,16.7,2003
China,14.7,2004
China,13.8,2005
China,12.8,2006
China,12.3,2007
Estonia,0,1971
Estonia,0,1972
Estonia,0,1973
Estonia,0,1974
Estonia,0,1975
Estonia,0,1976
Estonia,0,1977
Estonia,0,1978
Estonia,0,1979
Estonia,0,1980
Estonia,0,1981
Estonia,0,1982
Estonia,0,1983
Estonia,0,1984
Estonia,0,1985
Estonia,0,1986
Estonia,0,1987
Estonia,0,1988
Estonia,0,1989
Estonia,2,1990
Estonia,2.2,1991
Estonia,3.5,1992
Estonia,4.2,1993
Estonia,5.8,1994
Estonia,7.1,1995
Estonia,11.6,1996
Estonia,11.6,1997
Estonia,10.3,1998
Estonia,11.3,1999
Estonia,11.3,2000
Estonia,11.5,2001
Estonia,12.2,2002
Estonia,11.7,2003
Estonia,11.7,2004
Estonia,11.2,2005
Estonia,10.6,2006
Estonia,10.7,2007
India,62.9,1971
India,62.8,1972
India,62.6,1973
India,61.3,1974
India,60.7,1975
India,59.7,1976
India,59.6,1977
India,60.2,1978
India,58.8,1979
India,58.1,1980
India,56,1981
India,54.6,1982
India,53.6,1983
India,52.2,1984
India,50.3,1985
India,49.3,1986
India,47.9,1987
India,46.3,1988
India,44.9,1989
India,43.9,1990
India,42.8,1991
India,41.6,1992
India,40.9,1993
India,39.9,1994
India,38,1995
India,37,1996
India,36.1,1997
India,35.8,1998
India,34.3,1999
India,34,2000
India,33.9,2001
India,33.3,2002
India,33,2003
India,31.8,2004
India,31.4,2005
India,30.4,2006
India,29.2,2007
Indonesia,76,1971
Indonesia,73.8,1972
Indonesia,71.4,1973
Indonesia,69,1974
Indonesia,68,1975
Indonesia,66.2,1976
Indonesia,60.5,1977
Indonesia,57.7,1978
Indonesia,56.1,1979
Indonesia,54.8,1980
Indonesia,53.3,1981
Indonesia,53.4,1982
Indonesia,53.7,1983
Indonesia,52.4,1984
Indonesia,51.7,1985
Indonesia,48.4,1986
Indonesia,48.3,1987
Indonesia,47.2,1988
Indonesia,45,1989
Indonesia,45.4,1990
Indonesia,44,1991
Indonesia,42.9,1992
Indonesia,41.7,1993
Indonesia,40.8,1994
Indonesia,39.1,1995
Indonesia,38.1,1996
Indonesia,36.8,1997
Indonesia,35.2,1998
Indonesia,36.5,1999
Indonesia,36.4,2000
Indonesia,35.9,2001
Indonesia,35.4,2002
Indonesia,34.9,2003
Indonesia,33.7,2004
Indonesia,33,2005
Indonesia,32.6,2006
Indonesia,31.2,2007
Israel,0,1971
Israel,0,1972
Israel,0,1973
Israel,0,1974
Israel,0,1975
Israel,0,1976
Israel,0,1977
Israel,0,1978
Israel,0,1979
Israel,0,1980
Israel,0,1981
Israel,0,1982
Israel,0,1983
Israel,0,1984
Israel,3,1985
Israel,3.2,1986
Israel,3.1,1987
Israel,3,1988
Israel,3,1989
Israel,3.1,1990
Israel,3.3,1991
Israel,3,1992
Israel,3,1993
Israel,3,1994
Israel,3,1995
Israel,3,1996
Israel,3.1,1997
Israel,3.2,1998
Israel,3.2,1999
Israel,3.3,2000
Israel,3.3,2001
Israel,3.5,2002
Israel,3.5,2003
Israel,3.7,2004
Israel,3.6,2005
Israel,3.5,2006
Israel,3.5,2007
Russian Federation,0,1971
Russian Federation,0,1972
Russian Federation,0,1973
Russian Federation,0,1974
Russian Federation,0,1975
Russian Federation,0,1976
Russian Federation,0,1977
Russian Federation,0,1978
Russian Federation,0,1979
Russian Federation,0,1980
Russian Federation,0,1981
Russian Federation,0,1982
Russian Federation,0,1983
Russian Federation,0,1984
Russian Federation,0,1985
Russian Federation,0,1986
Russian Federation,0,1987
Russian Federation,0,1988
Russian Federation,0,1989
Russian Federation,3,1990
Russian Federation,3,1991
Russian Federation,3.5,1992
Russian Federation,3.6,1993
Russian Federation,3.7,1994
Russian Federation,3.8,1995
Russian Federation,3.3,1996
Russian Federation,3.4,1997
Russian Federation,3.4,1998
Russian Federation,3.6,1999
Russian Federation,3.5,2000
Russian Federation,3.5,2001
Russian Federation,3.4,2002
Russian Federation,3.1,2003
Russian Federation,3.5,2004
Russian Federation,3.4,2005
Russian Federation,3.4,2006
Russian Federation,3.3,2007
Slovenia,0,1971
Slovenia,0,1972
Slovenia,0,1973
Slovenia,0,1974
Slovenia,0,1975
Slovenia,0,1976
Slovenia,0,1977
Slovenia,0,1978
Slovenia,0,1979
Slovenia,0,1980
Slovenia,0,1981
Slovenia,0,1982
Slovenia,0,1983
Slovenia,0,1984
Slovenia,0,1985
Slovenia,0,1986
Slovenia,0,1987
Slovenia,0,1988
Slovenia,0,1989
Slovenia,9.2,1990
Slovenia,10.5,1991
Slovenia,10.9,1992
Slovenia,9.7,1993
Slovenia,9.9,1994
Slovenia,9,1995
Slovenia,9.3,1996
Slovenia,8.1,1997
Slovenia,8.7,1998
Slovenia,8.6,1999
Slovenia,12.3,2000
Slovenia,11.6,2001
Slovenia,10.4,2002
Slovenia,10.4,2003
Slovenia,11.6,2004
Slovenia,10.8,2005
Slovenia,10.7,2006
Slovenia,10.4,2007
South Africa,10.4,1971
South Africa,10.9,1972
South Africa,10.7,1973
South Africa,10.9,1974
South Africa,11.3,1975
South Africa,10.7,1976
South Africa,10.5,1977
South Africa,10.1,1978
South Africa,10,1979
South Africa,9.8,1980
South Africa,9.9,1981
South Africa,9.4,1982
South Africa,9.3,1983
South Africa,9.5,1984
South Africa,9.6,1985
South Africa,9.5,1986
South Africa,9.9,1987
South Africa,10.1,1988
South Africa,11.2,1989
South Africa,11.6,1990
South Africa,11.4,1991
South Africa,12.2,1992
South Africa,11.6,1993
South Africa,11.3,1994
South Africa,10.9,1995
South Africa,11.1,1996
South Africa,11.2,1997
South Africa,11.3,1998
South Africa,11.4,1999
South Africa,11.5,2000
South Africa,12,2001
South Africa,12.7,2002
South Africa,11.3,2003
South Africa,10.4,2004
South Africa,10.7,2005
South Africa,10.7,2006
South Africa,10.3,2007
World,13.2,1971
World,12.9,1972
World,12.5,1973
World,12.8,1974
World,12.9,1975
World,12.5,1976
World,12.4,1977
World,12.3,1978
World,12.3,1979
World,12.6,1980
World,12.9,1981
World,13.2,1982
World,13.4,1983
World,13.4,1984
World,13.3,1985
World,13.2,1986
World,13,1987
World,12.8,1988
World,12.8,1989
World,12.8,1990
World,13,1991
World,13.2,1992
World,13.3,1993
World,13.3,1994
World,13.3,1995
World,13.1,1996
World,13.2,1997
World,13.2,1998
World,13.2,1999
World,13.1,2000
World,13,2001
World,12.9,2002
World,12.8,2003
World,12.6,2004
World,12.6,2005
World,12.6,2006
World,12.6,2007
